Date,,Race,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,Win,
27/05/11,Yarra Glen,7,25,4,15,26,5,5.5,41,8,9,5.1,11,21,,2,
27/05/11,Newcastle,4,13,9,26,6,26.1,11,12,4,15,4.5,9.1,,,8,
27/05/11,Newcastle,7,34,16,26,26.1,2.8,21,4.3,3.8,21.1,26.2,10,,,8,
27/05/11,Melton,5,3.5,4.6,7.5,12,6.5,41,3,19,35,26,31,,,1,
28/05/11,Geelong,6,6.5,2.5,26,13,4.2,6.51,26.1,7,13.1,,,,,5,
28/05/11,Globe Derby,4,67,4.5,1.8,7,26,13,17,11,11.1,31,,,,3,
28/05/11,Globe Derby,7,21,11,34,26,13,15,3.5,1.7,51,,,,,1,
28/05/11,Albion Park,4,4,7,31,9,5,4.5,21,5.5,21.1,13,,,,6,
28/05/11,Albion Park,5,5,21,7,26,8,8.1,8.2,5.1,7.5,8.3,,,,9,
28/05/11,Albion Park,6,8,17,17.1,7,17.2,7.1,34,4.3,4.31,6,,,,8,
28/05/11,Albion Park,7,13,15,13.1,7,7.1,2.9,31,9,6,6.5,,,,10,
29/05/11,Ararat,6,25,17,4.5,11,7,11.1,2.5,26,7.1,26.1,10,,,7,
29/05/11,Ararat,7,10,7,26,3.5,5,8,15,25,21,51,3.51,,,2,
30/05/11,Shepparton,5,2.5,15,6.5,4.5,999,10,13,26,6.51,11,26.1,17,,9,
31/05/11,Mildura,4,34,26,26.1,999,7,7.1,21,8,3,7.2,3.2,,,8,
31/05/11,Mildura,5,4.5,999,13,5,5.1,11,13.1,11.1,5.2,13.2,13.3,,,8,
31/05/11,Mildura,6,999,3.2,15,34,11,6,34.1,5,4.5,11.1,9,,,2,
1/06/11,Kilmore,7,5.5,5,26,5.51,15,999,6,3.5,26.1,26.2,13,26.4,,4,
2/06/11,Ballarat,4,26,2.5,13,11,5,5.5,51,25,11.1,26.1,7,26.2,,10,
3/06/11,Stawell,7,999,3,2.2,2.3,41,100,100.1,34,100.2,34.1,,,,4,
3/06/11,Bathurst,5,8,9,999,4.5,4,13,9.1,16,6,7,31,,,5,
3/06/11,Bathurst,7,7.5,3.8,26,10,3.81,21,41,21.1,4.3,10.1,21.2,,,1,
4/06/11,Menangle,4,7.5,7.51,15,21,41,26,21.1,61,7.52,1.4,,,,10,
4/06/11,Menangle,6,999,11,3,17,10,4.2,51,3.5,4.21,51.1,,,,8,
4/06/11,Menangle,7,10,8.5,26,2,11,6.5,7.5,31,9,4,,,,1,
4/06/11,Albion Park,7,6.5,7.5,7.51,4.3,21,3.5,41,13,17,6.51,,,,10,
4/06/11,Globe Derby,4,6,4,11,17,6.1,7,7.1,5,17.1,26,,,,1,
4/06/11,Globe Derby,5,17,3.8,9,4,4.5,12,17.1,7,21,6,,,,1,
4/06/11,Globe Derby,7,34,26,17,9,2,11,13,34.1,3.3,51,,,,4,
5/06/11,Melton,7,26,34,21,51,5,2.3,34.1,21.1,6.5,6.51,8,25,21.2,6,
6/06/11,Cobram,5,10,8,5,4.2,999,34,16,2.7,34.1,15,11,34.2,,4,
7/06/11,Nyah,6,25,15,7,21,34,7.1,34.1,26,1.4,11,41,,,9,
8/06/11,Maryborough,5,34,5,9,21,999,2.5,21.1,5.1,51,13,34.1,7,,3,
8/06/11,Terang,7,3.7,34,3.71,34.1,26,15,34.2,9,10,6,5,,,11,
9/06/11,Melton,4,9,999,3.5,13,1.8,26,26.1,26.2,34,7,51,,,10,
9/06/11,Melton,6,1.5,16,26,11,25,9,41,26.1,21,21.1,26.2,9.1,41.1,12,
9/06/11,Melton,7,26,5,34,5.5,26.1,9,2.3,8,21,9.1,41,51,,10,
10/06/11,Warragul,7,15,8,8.1,3.5,7,6,7.1,8.2,21,25,8.3,,,7,
10/06/11,Melton,4,14,5.5,21,4.8,19,31,41,8,16,2.6,41.1,14.1,9,12,
10/06/11,Melton,5,21,8,41,2.5,5,21.1,41.1,16,4.2,35,16.1,12,21.2,12,
10/06/11,Newcastle,4,8.5,4.5,31,21,10,4.3,10.1,7.5,21.1,6,21.2,,,6,
11/06/11,Menangle,4,71,21,2.5,21.1,3.2,10,51,21.2,41,3.21,81,26,,10,
